,ATVI,ADBE,AMD,ALXN,ALGN,GOOGL,GOOG,AMZN,AAL,AMGN,ADI,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CELG,CERN,CHTR,CHKP,CTAS,CSCO,CTXS,CTSH,CMCSA,COST,CSX,CTRP,DLTR,EBAY,EA,EXPE,FB,FAST,FISV,FOX,FOXA,GILD,HAS,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,JD,KLAC,LRCX,LBTYA,LBTYK,LULU,MAR,MXIM,MELI,MCHP,MU,MSFT,MDLZ,MNST,MYL,NTAP,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PYPL,PEP,QCOM,REGN,ROST,SIRI,SWKS,SBUX,SYMC,SNPS,TMUS,TTWO,TSLA,TXN,KHC,ULTA,UAL,VRSN,VRSK,VRTX,WBA,WDAY,WDC,WLTW,WYNN,XEL,XLNX
ATVI,1.0,0.2635038089601599,-0.10053890391334198,-0.08709494694830677,0.6091264883600346,0.42591364985280505,0.42103257684130047,0.3160339735368014,0.3234272805923192,0.31602097165875126,0.05804145814020035,0.5267638924309341,0.5765111177977168,0.5429782952283501,0.13910154019167503,0.02149242652716828,0.8172520146421702,0.43059738317908125,0.24186408916161414,0.7107842151520789,-0.09183613483581869,-0.07980789680387931,-0.17789311359538584,0.4551168221496058,-0.1787043488293169,-0.06806115032628937,0.2231346757000309,0.02592178857177908,0.3044473405785526,0.7552846599706818,-0.3785687338501983,-0.3178555419204907,0.11800158412679909,0.1930574375886057,0.08507130547425364,0.3964631178700987,0.8559810299171945,0.06161931704720428,0.5995436885422271,-0.06969696558415821,0.10312975176002455,0.12084382435206253,0.13037903571781181,0.622807027374021,0.2716801038527067,-0.28528108744261915,0.3490604637446701,0.23801027545304007,-0.32975150574090656,0.23524332045355223,0.07511935289348999,0.29039778264633365,0.7028995649309612,0.5001670763693575,0.2534778815169786,0.43265782120249807,0.10704041100668601,0.09282154149241176,-0.013992956612121072,0.5484974476267269,0.4836084104810983,-0.027681184737872146,0.44995569351781545,0.6990660621105174,0.13742479172182223,-0.5256010640715432,0.42972114950550544,0.4390106952257393,0.4364728762014748,0.0726302330584525,0.3213777671772755,0.865778105336921,0.34080596319874357,-0.29820106320802975,-0.012910791466583143,-0.07652893123697635,0.16579718770455776,-0.1956669775767555,0.1622184749630133,-0.11291446739522477,0.11152691573691705,0.6279277781727791,0.5296346230462525,-0.5635596088268018,-0.09774830910439503,0.06990859069908015,-0.37219436998050776,0.7126973202272904,0.4055676717135516,0.3935126149732419,0.10608106189019867,-0.5544435664470544,-0.2380413264811252,-0.026783315578833622,-0.006440474606219617,0.3662924254082665,-0.16338731633361875,-0.14824264673387044,0.438952905882109,0.01729638028456626,0.6827968964438372,-0.2669353066317623,-0.35285613958367984
ADBE,0.2635038089601599,1.0,0.7319024665592342,-0.06340075007060837,0.877199529762128,0.9054953039966427,0.9129864443416353,0.9816279112344505,-0.6160585856440315,0.7875668208948944,0.8522858542643517,0.862205196034399,0.0465086977227498,0.8382442190925461,0.9316993096132886,0.9328804839150749,0.02944227015025114,0.16739502531054928,0.28300052400112546,0.3692597328354794,0.5701429960110694,0.803267579792204,-0.8110363393280215,-0.040524768927013705,-0.20292933641211486,0.46442150787684006,0.974779480261924,0.9409885236658714,0.9126285550270135,0.5902091419420333,-0.01039395886770394,0.8680822707197408,0.9369476263935124,-0.6277774064152523,0.5362703526115266,0.10190390611873336,0.23288462649911207,-0.36147325814986714,0.48833543155246173,0.7096024813675842,0.9613735636138071,0.8136088383797307,0.8153327339178872,0.10955290052343657,-0.01796734057408614,-0.3310452900054979,0.9314756072594569,0.9527354619341335,-0.8853892743882691,0.8954489796665135,0.9643729075322048,0.970909004817741,0.5684673225573873,-0.36595547465517464,0.6887144307796004,0.5212134994541895,-0.7410272369377203,-0.7518098378551021,0.9173715113360961,0.7543759589659262,0.8683567570995371,0.7840611798227097,0.4515689105343481,0.679574917441658,0.9783356559630952,0.3569891916770491,0.5704777198047817,-0.4570643516082332,0.9320097674686588,-0.4525148387305852,0.9660379742645416,0.6149500903782043,-0.4103366964679541,0.7365691810040046,0.2177214482270682,0.8511665077088953,0.9480509528202946,0.46995402381697177,0.5412818552883418,-0.43367277356121636,0.9056000682671584,0.7840458368621518,-0.4081375134335637,0.5009115817230562,-0.7943510425078558,0.8696238691634881,0.4637387224219293,0.7378278677816845,-0.1319720071006817,0.904487912426827,-0.9041629395904537,0.2776014442237595,0.5577508511402224,0.934308829245869,0.942205148764843,0.8614950759980782,-0.6812921711836942,0.8734259162064336,-0.5772745040608576,0.7354373207263968,0.312978712536195,0.6679456614399532,0.7064053429462027
AMD,-0.10053890391334198,0.7319024665592342,1.0,0.20873023582783257,0.5598083536705464,0.6171231572835042,0.6162475386112669,0.7457673332490156,-0.7566958576227805,0.6923893373598553,0.6572848422991042,0.6804855154078231,-0.4332896243881159,0.3762200739074702,0.7742212910234343,0.8697391735073217,-0.4154975646540833,0.07005585292325925,0.4420054287763574,-0.0845181335154959,0.4769395595017904,0.7313239196733782,-0.44675660861084515,-0.06672339336902805,0.05667588683942946,0.6984817369425792,0.760278521093697,0.7784753637834161,0.6500665659087045,0.0882352294868902,0.3021378734321846,0.9044322863039717,0.85146620796417,-0.5756897967205781,0.19043188263139119,-0.25215249778022863,-0.20606375340260732,-0.04068020704670867,0.0860685462651192,0.6242774236923953,0.80915212844349,0.6198007710630029,0.6190825801446933,-0.10361628433972477,0.2619925053275762,0.19902720432527676,0.7565657725356767,0.8057809153878456,-0.5108521735526975,0.47310290025560764,0.8177523299009857,0.7332122473896966,0.11458122970250992,-0.6534395753996739,0.40959040041066597,0.049937060654330706,-0.6804961794126998,-0.6754862466567109,0.8848494301106766,0.26330650844055836,0.44168990249760076,0.6373037414499784,0.04013284744236442,0.12920955322450825,0.7972117404612206,0.6154007428466918,0.2512340515457985,-0.6135691855119972,0.6603566650563526,-0.5818563078158845,0.6732609914145896,0.1856004993996139,-0.6546661821070892,0.8523996115012142,0.269177697417679,0.8189795268378356,0.7017493611500899,0.5988844461426837,0.5679250705066533,-0.07357616070916136,0.7724036828084596,0.3866810378485722,-0.5665251596328077,0.6066276455187294,-0.6716294583232009,0.7624957391430548,0.7522778449310779,0.3735161143161125,-0.3271803076762394,0.5255232363344654,-0.7548226424084495,0.6468727644162072,0.7640739525091162,0.8473644060579502,0.822752267185318,0.6038785308404745,-0.3726474315194478,0.7832229453114874,-0.7858745116195678,0.4960214182890912,-0.26048086341373666,0.7146380425581751,0.7476845041895536
ALXN,-0.08709494694830677,-0.06340075007060837,0.20873023582783257,1.0,-0.01997354579670383,-0.02046713210663005,-0.02577911215257366,-0.07456931420384955,-0.03716430461903117,0.09615878518321627,0.128248112065185,-0.0022710270876476935,-0.09130305922131177,6.3650042272944865e-06,0.06695010369362392,0.10813576639930114,0.04248376735173318,0.06991448812815045,0.25026245045320783,-0.04676542193854566,0.0809957674446836,0.1569210178963197,0.41680579736332,0.1594907898276399,0.44112855118158745,0.3409408781814935,0.009227648045334684,-0.00810238754814564,-0.2040879414976239,-0.033654757511305776,0.24699962099840966,0.5951886512552635,0.026179820203655398,0.2517571953946704,-0.11186776290540788,0.11421096751798632,0.056153860573795546,0.38872169214672836,0.17117032998598278,0.06291954924446037,0.027970008952160966,-0.18019113398563094,-0.18633490183292165,0.31310762218595994,0.12247025981179956,0.24825323578425726,-0.009590816092230803,-0.024622476005129564,0.2432842562494285,-0.1187012936778839,0.04481430830155573,-0.03634247006990778,-0.042328948546753876,0.053747477267256864,0.051332419868401875,-0.015252649151929622,0.21065664541089993,0.21302494205642156,0.06418304241910874,-0.15055785630547244,-0.14717362615598006,0.07020917042440143,0.10772633083090787,-0.13619185223474375,-0.014666536929176554,0.19352606444445186,-0.020233754689820884,-0.20099445382486508,-0.0895719145226627,-0.08232508337122345,-0.0055740931970574515,-0.07511228230897442,0.09790714952875701,0.014099821395604764,0.3454608872405203,0.10130827288824751,-0.0007272290450534922,0.1383213146259174,-0.03223664390149049,0.2991800732647605,-0.06906624385251699,-0.09690854293187569,0.09727930441272344,0.011601879289003268,0.1826158488873968,0.10896089366384956,0.1464617268943744,-0.12137576013617442,-0.09772619821174776,-0.044170215177536915,-0.014408131437758853,0.16148067285599224,-0.058353333370046195,0.06205367199134393,0.007896252181289578,0.03766270661356453,0.010235620775149088,0.04245535273983621,0.011980900063247932,0.10570018199347227,-0.12970354397296655,0.09627575303841944,0.16065015898097768
ALGN,0.6091264883600346,0.877199529762128,0.5598083536705464,-0.01997354579670383,1.0,0.9129631931409259,0.9129023655446351,0.8928915801309237,-0.3358348369741028,0.7078502187894905,0.7372435978650604,0.9042062020338618,0.3106877969229332,0.9056312800821261,0.7867664779350683,0.7535517385267417,0.3790645527617025,0.31756773436056623,0.32870588145684637,0.5132140761081032,0.4200351636016964,0.6412530015582615,-0.6559336229681361,0.23985604915016948,-0.2045439757901005,0.3458354833539055,0.8815868489276378,0.7340233943617651,0.8082443577798327,0.742159503660422,-0.13402329931868648,0.4069602643863897,0.7836669646270702,-0.3610546134672647,0.4891388128508586,0.2763208204912056,0.5612479330188076,-0.233776188910229,0.7107480448668152,0.5500502982658597,0.783137370384446,0.6351704335272915,0.6422148713146427,0.3667141248733826,0.12001912943425441,-0.40254972985993154,0.8855342815285767,0.832398899645154,-0.8019504858801978,0.7795932197297749,0.7831297876411056,0.8558741304569955,0.7567306018605435,-0.05040104773645843,0.692409538717174,0.6193035601082941,-0.483298063708391,-0.49996652244577183,0.7197683788540407,0.8227284883246209,0.8933910173034587,0.6063379385856512,0.6058609568435958,0.8365138423245242,0.8199899240840675,0.11374271944374255,0.6754754058871837,-0.16954040589727348,0.908353868030181,-0.30049620722254256,0.8776570939639905,0.8555779321346862,-0.11893150853887839,0.4596009780605341,0.28296605039246686,0.7005475839070641,0.8192006419372152,0.3262214786340859,0.5931602805889724,-0.39892275508470343,0.7538637838360861,0.8518356496796802,-0.0645167141196933,0.13451681271127866,-0.6660231868560106,0.7505275062662072,0.19629721596154628,0.8693046712127472,-0.0283771110530798,0.9059208853793134,-0.6390563501490243,-0.012858737742658364,0.29546136895736563,0.7270045920772792,0.7399858200870372,0.7725845655046277,-0.675189630722903,0.6092597805109236,-0.2471126022765312,0.5909015980050198,0.5406295744590898,0.417723009449603,0.39992475701616714
GOOGL,0.42591364985280505,0.9054953039966427,0.6171231572835042,-0.02046713210663005,0.9129631931409259,1.0,0.9991851112221889,0.9119854655085267,-0.3838871909425903,0.7586086864265403,0.8415066864504641,0.8660178831064826,0.2736662710394239,0.8846691225984848,0.8567251040963897,0.8247871704846087,0.22137628975635978,0.27246140034519906,0.3356835868174751,0.4224853981648438,0.5835531453005377,0.7759681999636711,-0.6613551736944455,0.21564126910526307,-0.08561982974269933,0.5216850235451389,0.9139267853357533,0.828259567551279,0.8222280046005158,0.7071644346965476,0.10315973006933223,0.6202300509457054,0.8582146525846214,-0.39596603482726733,0.6186434940523902,0.26711008880911763,0.4199811970829881,-0.18578164478899897,0.6668918863308905,0.6799167024592289,0.8753569512824986,0.6770917807752312,0.6775182220230811,0.2753588378693501,0.1165427773639859,-0.3504758210511028,0.8802504203190961,0.861378561798544,-0.7738597016937853,0.830156237836715,0.8679960632861446,0.9127184766563851,0.6243876939974419,-0.09003552464561353,0.8059164644880086,0.6485772448769692,-0.5692134470293869,-0.5900774813149101,0.7695822395405284,0.8312273542368431,0.9029714509067703,0.7639283353609271,0.620808522824038,0.7463316743505289,0.8882659765543135,0.3255208364692212,0.7206146755715377,-0.2650911235636377,0.8836565565886197,-0.2194919574105088,0.8798483146692636,0.7305050853159979,-0.18423454414667495,0.5825025902071702,0.3713353993748933,0.8014014693098452,0.9056436943358126,0.5177924891632725,0.5966307934288893,-0.2797187610131425,0.8055080934818651,0.7649471732952834,-0.15615122178508664,0.3615119613529588,-0.6444750629952687,0.8501436853037369,0.38729853621039595,0.7989643004798719,0.035645075458609024,0.9348861628941234,-0.7341140857210742,0.14494602708616458,0.4399667235045401,0.8252422723192381,0.8195543217655192,0.8507934025642562,-0.6720855805206923,0.7527849815326126,-0.36398511306561576,0.7506696734360543,0.4616502547313272,0.5785452935939731,0.6181391479232192
GOOG,0.42103257684130047,0.9129864443416353,0.6162475386112669,-0.02577911215257366,0.9129023655446351,0.9991851112221889,1.0,0.9173635950672673,-0.3842486053362803,0.7605999999621234,0.847586264911696,0.865506593757592,0.27855700439240083,0.8929354629605494,0.862983855236672,0.8299205095886429,0.22034060308282696,0.262928268879798,0.3169652948019338,0.4252776967213976,0.5934734621292701,0.7817900100798797,-0.6716763216542232,0.20669619018796231,-0.08205364179427296,0.5148342764479286,0.9202702214770563,0.840611512759312,0.8246759497153523,0.7127564270447788,0.10296434139402644,0.6268205354878698,0.8603267002146688,-0.40638063840420463,0.6348208857508842,0.2791596298714086,0.41466849075006107,-0.20915895912402913,0.6657201556506753,0.6873277732620446,0.8828458984164255,0.6817389292756655,0.6821155717332783,0.27647336183987486,0.0996610302073699,-0.3672693733231987,0.8809539375162777,0.8643520151339839,-0.7836671061249864,0.8423316197911788,0.8744994423356787,0.9178733308513916,0.6303884644925372,-0.0918847615972698,0.8105231389506592,0.6576919954847941,-0.5699488867929389,-0.5908472874680739,0.7746246445181502,0.8436104138012862,0.9101147930449071,0.7759776863198575,0.6230921613051552,0.7514848727853262,0.8959339469041626,0.32868536727009756,0.7255151410880013,-0.2706075800467484,0.8866401181216932,-0.2167831245657007,0.8867746695747031,0.7311393637362336,-0.18205770164191157,0.5870256987790322,0.37801584983036723,0.8066738444313745,0.9143358535826482,0.5180716574675114,0.5957073587123833,-0.29763517353034824,0.8124332348178762,0.767037278843648,-0.16420788726077723,0.37370533176621445,-0.6453774934389699,0.8570452133690752,0.3906620077485684,0.8002688757088569,0.02838421350663361,0.9424746352427142,-0.7473663501827109,0.1432193978603002,0.4358865566401982,0.8316123458508744,0.828408016220938,0.8577171259386008,-0.6813796162870526,0.7630939686523802,-0.3679355046672086,0.7597500745621439,0.47033032363630595,0.5841446201391769,0.6268793792386727
AMZN,0.3160339735368014,0.9816279112344505,0.7457673332490156,-0.07456931420384955,0.8928915801309237,0.9119854655085267,0.9173635950672673,1.0,-0.5977577318743277,0.7982860400993091,0.8034285914498381,0.881937851821817,0.011495248429996196,0.8151839307303375,0.8881552930383251,0.9103346125926838,0.03699290802823116,0.1908143678229173,0.34898617152933203,0.36880103966918537,0.47894824329770586,0.7416117541575865,-0.8075437450302245,-0.05058685565982122,-0.24572100761698562,0.4347862375837197,0.9641584042991598,0.9208808919898311,0.9281763568518481,0.5820324169076342,-0.030959226272913257,0.8540053928494441,0.9310771102230955,-0.6197917809789167,0.4878551491501613,0.07228597530664818,0.2517394974392094,-0.36529634877982026,0.46024520704498856,0.7116557142954811,0.9369222272269688,0.8241440368191549,0.8273192558526925,0.13569824751481943,0.04473253960967578,-0.29654392959506115,0.9539572169757153,0.9579011443224723,-0.8886464891813698,0.8608050874720717,0.9389066232565301,0.9547377359261878,0.5911078248622327,-0.36639029354700425,0.6598866785813181,0.4514988206777533,-0.7106638146458977,-0.720985540443209,0.9127348869769154,0.7324323107747293,0.8733090185074914,0.7549835320762234,0.39805673337356184,0.6706958052479868,0.9613431984639502,0.338698138227447,0.5442304444450557,-0.3888838006094101,0.9583563262878261,-0.47846406481741316,0.9638307255743199,0.6478450091937614,-0.4316285351460683,0.7428022945072731,0.18577166020580793,0.8287978806563934,0.9071634529230068,0.43260641052894117,0.5870170869422184,-0.444613499413393,0.9148377875322091,0.8060482976490057,-0.40047457716176593,0.4324413004204632,-0.8235651325900316,0.8286247509079446,0.44777939599564814,0.7410882863744617,-0.13896376648610675,0.8886535616900929,-0.8591988821907113,0.27641797673658075,0.5965921249819325,0.901186480990358,0.9247516219982294,0.8295934309303143,-0.6394668820877439,0.8241565918347654,-0.5647923218357986,0.6511965952794823,0.2916855057862953,0.5861831768245273,0.6385457320201773
AAL,0.3234272805923192,-0.6160585856440315,-0.7566958576227805,-0.03716430461903117,-0.3358348369741028,-0.3838871909425903,-0.3842486053362803,-0.5977577318743277,1.0,-0.49038427458422346,-0.492118042413827,-0.440027201515743,0.6228690370219598,-0.18883101768289684,-0.5870346385398072,-0.7353974897686646,0.5616720424974897,0.053323084663500976,-0.35439376778175,0.23395843028982424,-0.29609796071293554,-0.5857899195332416,0.5294776360621506,0.3938275861539291,0.20901307204785516,-0.4186735756699622,-0.5976073901340108,-0.6521575982291189,-0.6005738123918367,0.12480706136488917,-0.05653470106838433,-0.7620883470388832,-0.697570422522703,0.6893555674764551,-0.062191377706121896,0.4929564358222468,0.34117951336452734,0.21633889641190873,0.09401634480336997,-0.4462596182949958,-0.65664246237876,-0.6420379247592289,-0.6377162865806132,0.38056525891024323,0.06587776231803308,-0.14243514148242414,-0.5929573283503677,-0.6758245394903506,0.502440889787634,-0.4395458254872666,-0.7086873058745541,-0.592475152743852,0.07465128624590199,0.795037260306941,-0.15618963943077016,0.15164798938982776,0.783698117309431,0.768846591522196,-0.7836978416182021,-0.02649452268437125,-0.24282417817540572,-0.469370041917551,0.17371580191312702,0.01074107956591378,-0.6672937089582088,-0.45681458883532455,0.02273568487092925,0.7556137993050571,-0.509429821895149,0.6851217428802386,-0.5719025047518749,0.08562420063593879,0.8192536054427774,-0.8244521207394578,0.15095208978713387,-0.6410150301550162,-0.5449802478028722,-0.39377383682135547,-0.26920573978988865,0.20282670383001186,-0.6558980743207846,-0.2803902432376635,0.7333186106051379,-0.5678197438313445,0.7036369055567296,-0.5429871285034377,-0.5963094589525827,-0.1707887257441781,0.3765625683584604,-0.33456117291135307,0.7386904232572821,-0.637391859138122,-0.6331419289082193,-0.737391908699228,-0.7011995204927366,-0.4133205003803498,0.30133874164391516,-0.6857251691518007,0.8585642364763377,-0.3570257370572814,0.4027536021707845,-0.6623272355691463,-0.6403215189604189
AMGN,0.31602097165875126,0.7875668208948944,0.6923893373598553,0.09615878518321627,0.7078502187894905,0.7586086864265403,0.7605999999621234,0.7982860400993091,-0.49038427458422346,1.0,0.6117601928069221,0.7422758615766827,-0.07818642191674813,0.6252609773892344,0.7057661499500102,0.7624781476464194,0.10431051092227564,0.5460835111000881,0.5506231294407329,0.2572102310944586,0.3756274631621093,0.5661587449039186,-0.6029250071895096,-0.006640833379976266,-0.13141993554182094,0.5036601348945471,0.7664925536969577,0.7136659178512195,0.7988239289145804,0.5440027267533604,-0.018477806052548146,0.6116963725570496,0.7823607673869863,-0.6080293582853482,0.34950822939031334,-0.067767706001098,0.16272789708840293,-0.15208175864721854,0.28642798919219475,0.5990219609770859,0.7795093595113395,0.7872161834850323,0.7887750053749435,0.36858182019137287,0.07422061745047802,-0.15772456815938082,0.7352000881002808,0.8701498786707594,-0.7089134510654542,0.6496392751731126,0.7656679760354571,0.8701367097045218,0.5487653161641549,-0.3767665416489214,0.44616784869097625,0.27153085791077275,-0.6338698351470452,-0.6444746420397846,0.7466678947798111,0.5189734327260082,0.6799628088257692,0.5086652387897859,0.25697618970815067,0.5025827813552157,0.7785768870783091,0.12922475159659655,0.5159588713321838,-0.28540693650267546,0.7971916554929468,-0.43379030115816203,0.755366065978773,0.5459018903329337,-0.47661117778591267,0.6178093969812819,0.17277701993614566,0.6391411676762322,0.7457507294508748,0.3722220172986302,0.3442103615153915,-0.12050012365470075,0.7564125005529422,0.7041416714721185,-0.3821416818587137,0.2481094384542963,-0.655077634753472,0.6384125714879514,0.38376091762994163,0.7384958703893633,0.157547568878068,0.6942405426682368,-0.6743970320150358,0.10315746510431185,0.5363041723559157,0.7487583786572363,0.7137410218076563,0.8353939532934357,-0.28812353922771167,0.6504934337086441,-0.569752102695546,0.5221926624172072,0.1093419509024539,0.5162215336796802,0.5388781573732366
